name,description,price,stockQty,categoryId,image
"Premium Cotton Kurta – Traditional & Comfortable","This premium kurta is designed for comfort, tradition, and devotional wear. Made from soft and breathable cotton, it provides ease of movement during bhajans, kirtans, and temple visits. The minimalistic design reflects spiritual simplicity while maintaining elegance. Fine stitching and lightweight fabric ensure long-lasting comfort.

Highlights:
100% breathable cotton
Traditional devotional design
Lightweight and skin-friendly
Ideal for temple service and festivals
Durable and easy to maintain",1200,40,"54b7a739-e77a-4ad9-ac54-8a6b3e605812","https://res.cloudinary.com/dry05jnmn/image/upload/v1765107415/premium_cotton_kurta_r30hic.jpg"

"Mayapur Bagalbandi – Traditional & Comfortable","This premium Mayapur bagalbandi is crafted for comfort, elegance, and devotional wear. Made from soft, breathable cotton, it provides ease of movement during bhajans, kirtans, festivals, and temple services. The traditional Mayapur design reflects simplicity while maintaining a graceful devotional look. Fine stitching and lightweight fabric ensure long-lasting comfort and durability.

Highlights:
100% breathable cotton
Traditional devotional bagalbandi design
Lightweight, soft, and skin-friendly
Ideal for temple service, festivals, and cultural events
Durable, easy to wash, and long-lasting",1200,35,"54b7a739-e77a-4ad9-ac54-8a6b3e605812","https://res.cloudinary.com/dry05jnmn/image/upload/v1765107367/mayapur_bagalbandi_vgbhfl.jpg"

"Matka Silk Dhoti, Kurta & Chadar – Traditional & Comfortable","This premium Matka silk dhoti, kurta, and chadar set is crafted for elegance, comfort, and devotional wear. Made from soft, breathable Matka silk, it provides smooth movement during bhajans, kirtans, festivals, and temple services. The luxurious texture of silk reflects sophistication while maintaining traditional charm. Fine stitching and lightweight fabric ensure long-lasting comfort and durability.

Highlights:
100% premium Matka silk
Traditional devotional wear set (dhoti, kurta & chadar)
Soft, lightweight, and skin-friendly
Ideal for temple service, festivals, and cultural events
Durable, easy to maintain, and long-lasting",2500,30,"54b7a739-e77a-4ad9-ac54-8a6b3e605812","https://res.cloudinary.com/dry05jnmn/image/upload/v1765107333/matka_silk_dhoti_kurta_chadar_utl23h.jpg"

"Tilak Applicator Stick – Smooth & Easy Use","This tilak applicator is crafted for clean, precise, and effortless tilak application. Made from polished wood, it ensures smooth strokes while maintaining devotional hygiene. Lightweight and easy to hold, it supports daily sadhana and spiritual discipline.

Highlights:
Smooth polished finish
Ideal for applying clean and even tilak
Lightweight and durable design
Perfect for home and temple use
Easy to carry for travel",150,80,"54b7a739-e77a-4ad9-ac54-8a6b3e605812","https://res.cloudinary.com/dry05jnmn/image/upload/v1765107513/tilak_applicator_stick_pbs3ca.jpg"

"Devotional Shawl – Hare Krishna Print","This devotional shawl is crafted from lightweight cotton featuring the sacred Hare Krishna mantra. Soft and breathable, it provides comfort during chanting, meditation, and temple activities. The traditional print reflects spiritual devotion while maintaining style.

Highlights:
Soft and breathable fabric
Sacred Hare Krishna mantra print
Lightweight for long sessions
Ideal for japa, meditation, and temple visits
Durable and easy to wash",450,60,"54b7a739-e77a-4ad9-ac54-8a6b3e605812","https://res.cloudinary.com/dry05jnmn/image/upload/v1765107023/devotional_shawl_hk_xvi05u.jpg"

